Category,Step,Exercise,Level,Reps,Sets
Push-up,1,Wall Push-ups,Beginner,10,1
Push-up,1,Wall Push-ups,Intermediate,25,2
Push-up,1,Wall Push-ups,Advanced,50,3
Push-up,2,Incline Push-ups,Beginner,10,1
Push-up,2,Incline Push-ups,Intermediate,20,2
Push-up,2,Incline Push-ups,Advanced,40,3
Push-up,3,Kneeling Push-ups,Beginner,10,1
Push-up,3,Kneeling Push-ups,Intermediate,15,2
Push-up,3,Kneeling Push-ups,Advanced,30,3
Push-up,4,Half Push-ups,Beginner,8,1
Push-up,4,Half Push-ups,Intermediate,12,2
Push-up,4,Half Push-ups,Advanced,25,2
Push-up,5,Full Push-ups,Beginner,5,1
Push-up,5,Full Push-ups,Intermediate,10,2
Push-up,5,Full Push-ups,Advanced,20,2
Push-up,6,Close Push-ups,Beginner,5,1
Push-up,6,Close Push-ups,Intermediate,10,2
Push-up,6,Close Push-ups,Advanced,20,2
Push-up,7,Uneven Push-ups,Beginner,5,1
Push-up,7,Uneven Push-ups,Intermediate,10,2
Push-up,7,Uneven Push-ups,Advanced,20,2
Push-up,8,Half One-Arm Push-ups,Beginner,5,1
Push-up,8,Half One-Arm Push-ups,Intermediate,10,2
Push-up,8,Half One-Arm Push-ups,Advanced,20,3
Push-up,9,Lever Push-ups,Beginner,5,1
Push-up,9,Lever Push-ups,Intermediate,10,2
Push-up,9,Lever Push-ups,Advanced,20,2
Push-up,10,One-Arm Push-ups,Beginner,5,1
Push-up,10,One-Arm Push-ups,Intermediate,10,2
Push-up,10,One-Arm Push-ups,Advanced,100,1
Squat,1,Shoulderstand Squats,Beginner,10,1
Squat,1,Shoulderstand Squats,Intermediate,25,2
Squat,1,Shoulderstand Squats,Advanced,50,3
Squat,2,Jackknife Squats,Beginner,10,1
Squat,2,Jackknife Squats,Intermediate,20,2
Squat,2,Jackknife Squats,Advanced,40,3
Squat,3,Support Squats,Beginner,10,1
Squat,3,Support Squats,Intermediate,15,2
Squat,3,Support Squats,Advanced,30,3
Squat,4,Half Squats,Beginner,8,1
Squat,4,Half Squats,Intermediate,35,2
